city,state,house_type,price,year,month,time
Palo Alto,CA,1,1491772.0,2019,06,2019-06
Foster City,CA,1,823694.0,2019,06,2019-06
San Francisco,CA,1,919868.0,2019,07,2019-07
Berkeley,CA,1,738119.0,2019,07,2019-07
Mountain View,CA,1,669445.0,2019,07,2019-07
Palo Alto,CA,1,1473330.0,2019,07,2019-07
Foster City,CA,1,823076.0,2019,07,2019-07
San Francisco,CA,1,917436.0,2019,08,2019-08
Berkeley,CA,1,745665.0,2019,08,2019-08
Mountain View,CA,1,663450.0,2019,08,2019-08
Palo Alto,CA,1,1465792.0,2019,08,2019-08
Foster City,CA,1,810180.0,2019,08,2019-08
San Francisco,CA,1,917298.0,2019,09,2019-09
Berkeley,CA,1,749903.0,2019,09,2019-09
Mountain View,CA,1,666752.0,2019,09,2019-09
Palo Alto,CA,1,1474132.0,2019,09,2019-09
Foster City,CA,1,802880.0,2019,09,2019-09
San Francisco,CA,1,924109.0,2019,10,2019-10
Berkeley,CA,1,752827.0,2019,10,2019-10
Mountain View,CA,1,666728.0,2019,10,2019-10
Palo Alto,CA,1,1475963.0,2019,10,2019-10
Foster City,CA,1,784249.0,2019,10,2019-10
San Francisco,CA,1,930871.0,2019,11,2019-11
Berkeley,CA,1,748582.0,2019,11,2019-11
Mountain View,CA,1,671266.0,2019,11,2019-11
Palo Alto,CA,1,1482747.0,2019,11,2019-11
Foster City,CA,1,771954.0,2019,11,2019-11
San Francisco,CA,1,942490.0,2019,12,2019-12
Berkeley,CA,1,752542.0,2019,12,2019-12
Mountain View,CA,1,673096.0,2019,12,2019-12
Palo Alto,CA,1,1479364.0,2019,12,2019-12
Foster City,CA,1,759360.0,2019,12,2019-12
San Francisco,CA,1,944542.0,2020,01,2020-01
Berkeley,CA,1,756680.0,2020,01,2020-01
Mountain View,CA,1,682067.0,2020,01,2020-01
Palo Alto,CA,1,1487585.0,2020,01,2020-01
Foster City,CA,1,760739.0,2020,01,2020-01
San Francisco,CA,1,947235.0,2020,02,2020-02
Berkeley,CA,1,763720.0,2020,02,2020-02
Mountain View,CA,1,689612.0,2020,02,2020-02
Palo Alto,CA,1,1489518.0,2020,02,2020-02
Foster City,CA,1,761785.0,2020,02,2020-02
San Francisco,CA,1,944796.0,2020,03,2020-03
Berkeley,CA,1,765439.0,2020,03,2020-03
Mountain View,CA,1,697953.0,2020,03,2020-03
Palo Alto,CA,1,1497988.0,2020,03,2020-03
Foster City,CA,1,763129.0,2020,03,2020-03
San Francisco,CA,1,945313.0,2020,04,2020-04
Berkeley,CA,1,767329.0,2020,04,2020-04
Mountain View,CA,1,702296.0,2020,04,2020-04
Palo Alto,CA,1,1493119.0,2020,04,2020-04
Foster City,CA,1,754203.0,2020,04,2020-04
San Francisco,CA,1,940109.0,2020,05,2020-05
Berkeley,CA,1,767931.0,2020,05,2020-05
Mountain View,CA,1,706716.0,2020,05,2020-05
Palo Alto,CA,1,1484770.0,2020,05,2020-05
Foster City,CA,1,737388.0,2020,05,2020-05
San Francisco,CA,1,933815.0,2020,06,2020-06
Berkeley,CA,1,766151.0,2020,06,2020-06
Mountain View,CA,1,713628.0,2020,06,2020-06
Palo Alto,CA,1,1476031.0,2020,06,2020-06
Foster City,CA,1,725093.0,2020,06,2020-06
San Francisco,CA,1,927507.0,2020,07,2020-07
Berkeley,CA,1,765564.0,2020,07,2020-07
Mountain View,CA,1,716052.0,2020,07,2020-07
Palo Alto,CA,1,1476072.0,2020,07,2020-07
Foster City,CA,1,716362.0,2020,07,2020-07
San Francisco,CA,1,924656.0,2020,08,2020-08
Berkeley,CA,1,769385.0,2020,08,2020-08
